username,id,url,alt
alanlaoda,pImage_0,https://scontent-hkg3-1.cdninstagram.com/t51.2885-15/e35/c101.0.398.398/15538226_1012767478869205_3674149938234654720_n.jpg?ig_cache_key=MTQwNzk1Njg0NjAyNzA4NjUxNQ%3D%3D.2.c,"武媚娘傳奇真的好好看
原本只是身體不舒服
躺著隨便找影集來看
結果我兩天半就看完82集@@"
alanlaoda,pImage_1,https://scontent-hkg3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/15101790_1206325199447246_3506280634664353792_n.jpg?ig_cache_key=MTM4Njg5NzM1NzY3Mjk0Nzk4MA%3D%3D.2.c,"軍訓課加分去看防空洞
結果不能進去好可惜😅😅"
alanlaoda,pImage_2,https://scontent-hkg3-1.cdninstagram.com/t51.2885-15/e35/c75.0.361.361/14726344_1788864941325745_431993454218706944_n.jpg?ig_cache_key=MTM2OTQ0MjU2NjMyMzU3MjU3OQ%3D%3D.2.c,"""抱""腿變""爆""腿啦!!!
海電29分💪💪💪
勇士欠人虐啊～
沒板凳沒內線有點慘
#勇黑高潮"
alanlaoda,pImage_3,https://scontent-hkg3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/14677397_359032641099745_1151847483609972736_n.jpg?ig_cache_key=MTM2NjYyMzYyMDQ3NDI5NTU0Ng%3D%3D.2.c,"這張有""帥""
發神經陪兩個87去做軍訓報告"
alanlaoda,pImage_4,https://scontent-hkg3-1.cdninstagram.com/t51.2885-15/e35/c157.0.406.406/14515609_189455488130774_5982220231588708352_n.jpg?ig_cache_key=MTM1MjY4MjU3MzgwNTM4Mjg2OQ%3D%3D.2.c,"三年前的今天哈哈
到現在仍然記憶猶新
新生盃第一場一個虐菜
對面87在中場換手被我抄球快攻
現在要快攻好像有點...."
alanlaoda,pImage_5,https://scontent-hkg3-1.cdninstagram.com/t51.2885-15/e35/c236.0.608.608/14287961_1805112253098773_2994703953301602304_n.jpg?ig_cache_key=MTM0NTQ5OTg0NDM4NzI4MDk2OQ%3D%3D.2.c,"旁邊阿伯的麻將聲讓我手很癢
一直撿球好麻煩😅😅😅"
alanlaoda,pImage_6,https://scontent-hkg3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/13694462_1786325351605153_1170692707_n.jpg?ig_cache_key=MTMwNjU0MDA1OTUxMjM5MjUwNA%3D%3D.2.c,"瓊斯杯初體驗
中華隊真的跟不上韓國的速度
真的要換血了"
alanlaoda,pImage_7,https://scontent-hkg3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13722235_1191777267540564_1975293230_n.jpg?ig_cache_key=MTI5NTMyNTU3OTMyMzUyNTQ5OA%3D%3D.2,"兩個女友😂😂😂
籃球+新機車(舅舅天掉下來的禮物)
終於自己騎車去打球
天氣有夠熱😅😅😅"
alanlaoda,pImage_8,https://scontent-hkg3-1.cdninstagram.com/t51.2885-15/e35/c236.0.608.608/13584185_1828902290671506_749385758_n.jpg?ig_cache_key=MTI5MDY3NjQ4MzIzMjg5MjI0Mg%3D%3D.2.c,"晚上與室友夜打
新住處旁邊就有球場
球場還蠻新的🙌🙌🙌"
alanlaoda,pImage_9,https://scontent-hkg3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13402329_283116952039374_1468249014_n.jpg?ig_cache_key=MTI3NjU2NDY3NTQ1MTgzMjQ1MQ%3D%3D.2,"1:3逆轉有夠爽
馬的逆轉啦！

看到James和curry打球
我真的不懂暴扣明明比三分好看
三分自己去投就好啦？
怎麼大家都在看Curry(各有所好

James這種坦克的球風
看了就舒服 會熱血沸騰
Irving最後那顆三分太銷魂啦！

#騎士寄生迷
#勇黑高潮"
